AAL1828,KCLT,KBOS
AAL1834,KMCO,KDFW
AAL1835F,KPHL,KORD
AAL1838,KORD,KDFW
AAL1840,KCLT,KIAH
AAL1841,KORD,KDFW
AAL1843,KCLT,KBOS
AAL1847,KCLT,KAUS
AAL1850,KBOS,KCLT
AAL1850,KPHL,KPHX
AAL1851,KMIA,KLAS
AAL1853,KDCA,KLAS
AAL1854,KORD,KPHL
AAL1857,KALB,KCLT
AAL186,MMUN,KPHX
AAL1860,KMCO,KDCA
AAL1860,KBNA,KLAX
AAL1862,KPBI,KORD
AAL1863,KDFW,KLGA
AAL1864,KPHL,KFLL
AAL1865,KORD,KLAX
AAL1865E,KORD,KLAX
AAL1866,KTPA,KMIA
AAL1866CA,KTPA,KMIA
AAL1871,KPHX,KPHL
AAL1874,KPHL,KBOS
AAL1878,KSFO,KCLT
AAL1879,KCLT,KMCO
AAL1883,KJAC,KDFW
AAL1886,KPHL,KLAS
AAL1886F,KPHL,KLAS
AAL1888,KPIT,KLAX
AAL1888,KLAX,KRDU
AAL1889,KLAX,KLAS
AAL1890,KLAS,KDFW
AAL1892,KCHS,KDFW
AAL1893,KBOS,KMIA
AAL1895,KPHL,KBNA
AAL1896,KMCO,KCLT
AAL1899,KPHX,KCLE
AAL1899,KCLE,KPHX
AAL1899,KBNA,KLAX
AAL1905,KPBI,KCLT
AAL1908,KLAS,KDFW
AAL1909,KCLT,KJFK
AAL1910,KMIA,KORD
AAL1912,KDFW,KIAH
AAL1913,KPHL,MYNN
AAL1915,KDFW,KRIC
AAL1917,KPHL,KPHX,KCLT
AAL1917E,KPHL,KPHX
AAL1919,KMIA,KPHX
AAL1920,KONT,KCLT
AAL1921,KDFW,LEBL
AAL1924,KMIA,KBWI
AAL1924,KDFW,MMMX
AAL1927,KDFW,LEBL
AAL1927,KLAS,KCLT
AAL1928,KMCO,KLAX
AAL1929,KPHL,KCLT
AAL1932,KATL,KMIA
AAL1936,KORD,KEWR
AAL1937,KPHL,KORD
AAL1938,KDFW,KBOS
AAL1938,KORD,KDFW
AAL1938,KORD,KDFW,KBOS
AAL1941,KLAX,KIND
AAL1944,KDCA,KORD
AAL1945,KPHL,KDFW
AAL1945E,KPHL,KDFW
AAL1947,MMPR,KDFW
AAL1950,KPHX,KJFK
AAL1950,KJFK,KMIA
AAL1953,KJFK,KDFW
AAL1954,KCLT,KSAN,KCLT
AAL1955,KCLT,KPBI
AAL1959,KORD,TNCC
AAL1959,KAUS,KCLT
